"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","QZ5","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
92.5,100,92.5,70,100,82,86,60,100,12,66.6666666666667,66.6666666666667,40,9,69.6,63.9,45,87,71,90.375,57.7777777777778,100,80.9291666666667,"B-"
92.5,97.5,95,100,91.25,100,94,100,95,12,83.3333333333333,77.7777777777778,40,19,62.4,66.6,95,78,74,96.75,67.0370370370371,100,83.1805555555556,"B"
86,100,100,90,100,92.5,0,90,100,12,58.3333333333333,33.3333333333333,85,18,32.8,66.6,90,41,74,94.8125,58.8888888888889,100,73.9770833333333,"C"
92.5,100,0,90,100,100,89,100,100,12,83.3333333333333,72.2222222222222,80,19,70.4,77.4,95,88,86,96.4375,78.5185185185185,100,89.8090277777778,"A-"
82.5,80,95,90,100,98,92,100,85,11,91.6666666666667,88.8888888888889,60,18,68,72.9,90,85,81,92.8125,80.1851851851852,100,87.1215277777778,"B+"
85,42.5,0,0,0,66,0,0,80,6,83.3333333333333,66.6666666666667,0,14,52,43.2,70,65,48,34.1875,54.6666666666667,0,43.45625,"F"
77.5,100,97.5,65,72,81,97,100,75,10,79.1666666666667,50,0,17,64.8,62.1,85,81,69,87.5,48.7222222222222,80,75.0083333333333,"C"
70,80,90,100,90,0,90,90,85,12,91.6666666666667,0,75,18,36,46.8,90,45,52,86.875,61.5555555555556,100,67.2958333333333,"C-"
77.5,92.5,95,90,0,95,94,100,100,10,66.6666666666667,88.8888888888889,70,9,66.4,70.2,45,83,78,93,75.1851851851852,80,83.2777777777778,"B"
92.5,97.5,100,100,100,99,97,100,100,12,91.6666666666667,61.1111111111111,85,14,57.6,72.9,70,72,81,99.1875,79.2592592592593,100,86.2951388888889,"B+"
89.5,100,97.5,80,96.25,96,51,85,100,12,100,66.6666666666667,75,17,69.6,74.7,85,87,83,93.03125,80.5555555555556,100,88.1427083333333,"A-"
89,100,55,98,100,83,100,0,97,9,75,61.1111111111111,0,20,70.4,69.3,100,88,77,90.25,52.037037037037,60,77.7305555555556,"C+"
65,82.5,87.5,85,95,95,100,90,80,12,91.6666666666667,77.7777777777778,75,19,70.4,78.3,95,88,87,89.375,81.4814814814815,100,88.3847222222222,"A-"
92.5,100,100,70,100,100,91,80,90,12,100,66.6666666666667,60,18,68.8,73.35,90,86,81.5,94.1875,75.5555555555556,100,87.1645833333333,"B+"
92.5,97.5,100,0,100,99,94,90,100,12,91.6666666666667,88.8888888888889,80,19,71.2,79.2,95,89,88,96.625,86.8518518518518,100,91.8152777777778,"A"
92.5,82,92.5,75,100,99,76,90,89,12,100,83.3333333333333,80,8,67.2,78.3,40,84,87,90.125,87.7777777777778,100,88.7541666666667,"A-"
70,78,95,0,90,97,100,80,100,11,75,27.7777777777778,50,11,64.8,63.9,55,81,71,88.75,50.9259259259259,100,78.2138888888889,"C+"
80,57.5,100,60,80,78,70,95,94,12,83.3333333333333,66.6666666666667,70,18,68.8,64.35,90,86,71.5,82.125,73.3333333333333,100,80.7125,"B-"
92.5,100,92.5,95,100,97,97,100,85,12,58.3333333333333,50,52.5,12,68,63,60,85,70,96.75,53.6111111111111,100,81.5666666666667,"B-"
82.5,100,100,100,100,98,71,100,91,12,91.6666666666667,83.3333333333333,80,19,69.6,80.1,95,87,89,96.4375,85,100,91.33125,"A"
